"","price","volume","date","ticker"
"1182",24150,0,2004-10-04,"^BVSP"
"1183",24205,0,2004-10-05,"^BVSP"
"1184",24027,0,2004-10-06,"^BVSP"
"1185",24104,0,2004-10-07,"^BVSP"
"1186",23927,0,2004-10-08,"^BVSP"
"1187",23954,0,2004-10-11,"^BVSP"
"1188",23289,0,2004-10-13,"^BVSP"
"1189",22959,0,2004-10-14,"^BVSP"
"1190",23368,0,2004-10-15,"^BVSP"
"1191",23411,0,2004-10-18,"^BVSP"
"1192",22893,0,2004-10-19,"^BVSP"
"1193",22873,0,2004-10-20,"^BVSP"
"1194",23059,0,2004-10-21,"^BVSP"
"1195",22735,0,2004-10-22,"^BVSP"
"1196",22603,0,2004-10-25,"^BVSP"
"1197",22849,0,2004-10-26,"^BVSP"
"1198",23171,0,2004-10-27,"^BVSP"
"1199",22929,0,2004-10-28,"^BVSP"
"1200",23052,0,2004-10-29,"^BVSP"
"1201",23273,0,2004-11-01,"^BVSP"
"1202",23660,0,2004-11-03,"^BVSP"
"1203",23880,0,2004-11-04,"^BVSP"
"1204",23542,0,2004-11-05,"^BVSP"
"1205",23212,0,2004-11-08,"^BVSP"
"1206",23216,0,2004-11-09,"^BVSP"
"1207",23455,0,2004-11-10,"^BVSP"
"1208",23521,0,2004-11-11,"^BVSP"
"1209",24035,0,2004-11-12,"^BVSP"
"1210",23772,0,2004-11-16,"^BVSP"
"1211",24170,0,2004-11-17,"^BVSP"
"1212",24143,0,2004-11-18,"^BVSP"
"1213",24034,0,2004-11-19,"^BVSP"
"1214",24445,0,2004-11-22,"^BVSP"
"1215",24340,0,2004-11-23,"^BVSP"
"1216",24368,0,2004-11-24,"^BVSP"
"1217",24867,0,2004-11-25,"^BVSP"
"1218",24998,0,2004-11-26,"^BVSP"
"1219",24855,0,2004-11-29,"^BVSP"
"1220",25128,0,2004-11-30,"^BVSP"
"1221",25235,0,2004-12-01,"^BVSP"
"1222",25200,0,2004-12-02,"^BVSP"
"1223",25468,0,2004-12-03,"^BVSP"
"1224",25633,0,2004-12-06,"^BVSP"
"1225",24989,0,2004-12-07,"^BVSP"
"1226",24968,0,2004-12-08,"^BVSP"
"1227",24526,0,2004-12-09,"^BVSP"
"1228",24933,0,2004-12-10,"^BVSP"
"1229",25225,0,2004-12-13,"^BVSP"
"1230",25563,0,2004-12-14,"^BVSP"
"1231",25576,0,2004-12-15,"^BVSP"
"1232",25831,0,2004-12-16,"^BVSP"
"1233",25659,0,2004-12-17,"^BVSP"
"1234",25537,0,2004-12-20,"^BVSP"
"1235",25890,0,2004-12-21,"^BVSP"
"1236",25723,0,2004-12-22,"^BVSP"
"1237",25878,0,2004-12-23,"^BVSP"
"1238",25937,0,2004-12-27,"^BVSP"
"1239",26117,0,2004-12-28,"^BVSP"
"1240",26161,0,2004-12-29,"^BVSP"
"1241",26196,0,2004-12-30,"^BVSP"
"1242",25722,0,2005-01-03,"^BVSP"
"1243",24848,0,2005-01-04,"^BVSP"
"1244",24692,0,2005-01-05,"^BVSP"
