ref_date,BA,NOC,SO,WY
2019-11-29,364.014221,334.978394,54.842575,26.233429
2019-12-02,353.079285,325.417633,54.497532,25.966738
2019-12-03,349.99762,326.769867,55.178757,26.073416
2019-12-04,346.776764,326.826965,55.461853,26.313438
2019-12-05,343.635468,327.969727,55.523792,26.304441
2019-12-06,351.995728,328.303009,54.975281,26.538263
2019-12-09,349.132751,326.674652,54.355984,26.421347
2019-12-10,345.842346,328.036377,53.373974,26.079617
2019-12-11,347.929932,332.064484,53.692471,26.376385
2019-12-12,344.241882,329.388611,53.710155,26.574228
2019-12-13,339.6492,328.198273,53.754391,26.655169
2019-12-16,325.065948,328.236328,55.090294,26.664162
2019-12-17,325.065948,329.331421,56.355419,26.673155
2019-12-18,328.724182,322.532257,56.293484,26.83503
2019-12-19,331.527496,325.874786,55.798046,26.987913
2019-12-20,326.060028,329.398102,56.496967,27.113808
2019-12-23,335.553558,331.502625,55.966145,27.104816
2019-12-24,331.030457,330.512207,55.851131,26.844021
2019-12-26,327.968689,331.350281,55.886517,26.969921
2019-12-27,328.187408,329.902771,56.143085,26.960932
2019-12-30,324.469513,332.407288,56.036922,26.915964
2019-12-31,323.833313,327.55072,56.355419,27.158775
2020-01-02,331.348572,338.720764,55.399929,26.430346
2020-01-03,330.791901,357.109039,55.346855,26.475309
2020-01-06,331.766083,357.889862,55.568027,26.421347
2020-01-07,335.285156,357.070923,55.399929,26.250486
2020-01-08,329.410095,352.614349,55.38224,26.349407
2020-01-09,334.350708,354.585571,55.966145,26.565243
2020-01-10,327.968689,356.518677,56.320026,26.592218
2020-01-13,328.266907,358.842133,57.098564,27.203739
2020-01-14,330.384308,356.785309,57.43475,27.554468
2020-01-15,327.849396,362.108429,58.01865,27.815262
2020-01-16,330.036377,365.460449,58.522934,28.148003
